test,production
test_editex,setup
test_common,benchmark
test_sorensen,base
test_matrix,simple
test_common,token_based
test_gotoh,edit_based
test_bag,base
test_bwtrle_ncd,compression_based
test_bwtrle_ncd,utils
test_mlipns,utils
test_sorensen,compare
test_editex,utils
test_common,compression_based
test_editex,vector_based
test_arith_ncd,compression_based
test_jaro_winkler,base
test_jaccard,base
test_bwtrle_ncd,base
test_editex,phonetic
test_bz2_ncd,utils
test_lcsstr,sequence_based
test_editex,benchmark
test_common,vector_based
test_jaro_winkler,libraries
test_smith_waterman,simple
test_entropy_ncd,compression_based
test_editex,simple
test_strcmp95,edit_based
test_common,sequence_based
test_matrix,base
test_common,utils
test,production
test_common,libraries
test_common,base
test_sqrt_ncd,utils
test_editex,libraries
test_editex,edit_based
test_common,setup
test_common,compare
test_jaro,libraries
test_common,phonetic
test_overlap,token_based
test_cosine,simple
test_external,libraries
test_common,simple
test_strcmp95,setup
test_bz2_ncd,compression_based
